|NSC|NAME|CTCAE_VERSION|CTCAE_CATEGORY|TOXICITY|AE_TERM|SELECT_AE|OTHER_TOXICITY|IMT_CODE|CTEP_PREFERRED_TERM|SHORT_NAME|SUB_CATEGORY|EXPECTED_TOXICITY_FLAG|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Infections and infestations|Vulval infection|Vulval infection|||10065772|Vulval infection|Vulval infection||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Infections and infestations|Wound infection|Wound infection|||10048038|Wound infection|Wound infection||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Investigations|Alanine aminotransferase increased|Alanine aminotransferase increased|||10001551|Alanine aminotransferase increased|Alanine aminotransferase increased||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Investigations|Aspartate aminotransferase increased|Aspartate aminotransferase increased|||10003481|Aspartate aminotransferase increased|Aspartate aminotransferase increased||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Investigations|Weight loss|Weight loss|||10047900|Weight loss|Weight loss||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Metabolism and nutrition disorders|Anorexia|Anorexia|||10002646|Anorexia|Anorexia||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Metabolism and nutrition disorders|Dehydration|Dehydration|||10012174|Dehydration|Dehydration||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Metabolism and nutrition disorders|Hypokalemia|Hypokalemia|||10021018|Hypokalemia|Hypokalemia||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Metabolism and nutrition disorders|Hypomagnesemia|Hypomagnesemia|||10021028|Hypomagnesemia|Hypomagnesemia||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Nervous system disorders|Dizziness|Dizziness|||10013573|Dizziness|Dizziness||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Nervous system disorders|Dysgeusia|Dysgeusia|||10013911|Dysgeusia|Dysgeusia||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Psychiatric disorders|Libido decreased|Libido decreased|||10024419|Libido decreased|Libido decreased||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Reproductive system and breast disorders|Azoospermia|Azoospermia|||10003883|Azoospermia|Azoospermia||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Reproductive system and breast disorders|Irregular menstruation|Irregular menstruation|||10022992|Irregular menstruation|Irregular menstruation||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|"Respiratory, thoracic and mediastinal disorders"|Dyspnea|Dyspnea|||10013963|Dyspnea|Dyspnea||No|
|726190|(R)-(-)-Gossypol acetic acid (Ascenta's AT-101)|4|Skin and subcutaneous tissue disorders|Dry skin|Dry skin|||10013786|Dry skin|Dry skin||No|
|721782|1-Methyl-[D]-tryptophan|4|Gastrointestinal disorders|Constipation|Constipation|||10010774|Constipation|Constipation||No|
|721782|1-Methyl-[D]-tryptophan|4|Gastrointestinal disorders|Diarrhea|Diarrhea|||10012727|Diarrhea|Diarrhea||No|
|721782|1-Methyl-[D]-tryptophan|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|721782|1-Methyl-[D]-tryptophan|4|General disorders and administration site conditions|Fatigue|Fatigue|||10016256|Fatigue|Fatigue||No|
|721782|1-Methyl-[D]-tryptophan|4|Metabolism and nutrition disorders|Anorexia|Anorexia|||10002646|Anorexia|Anorexia||No|
|330507|17-AAG|4|Blood and lymphatic system disorders|Anemia|Anemia|||10002272|Anemia|Anemia||No|
|330507|17-AAG|4|Cardiac disorders|Atrioventricular block first degree|Atrioventricular block first degree|||10003674|Atrioventricular block first degree|Atrioventricular block first degree||No|
|330507|17-AAG|4|Cardiac disorders|Mobitz (type) II atrioventricular block|Mobitz (type) II atrioventricular block|||10027786|Mobitz (type) II atrioventricular block|Mobitz (type) II atrioventricular block||No|
|330507|17-AAG|4|Cardiac disorders|Mobitz type I|Mobitz type I|||10027787|Mobitz type I|Mobitz type I||No|
|330507|17-AAG|4|Cardiac disorders|Sinus bradycardia|Sinus bradycardia|||10040741|Sinus bradycardia|Sinus bradycardia||No|
|330507|17-AAG|4|Gastrointestinal disorders|Constipation|Constipation|||10010774|Constipation|Constipation||No|
|330507|17-AAG|4|Gastrointestinal disorders|Diarrhea|Diarrhea|||10012727|Diarrhea|Diarrhea||No|
|330507|17-AAG|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|330507|17-AAG|4|Gastrointestinal disorders|Vomiting|Vomiting|||10047700|Vomiting|Vomiting||No|
|330507|17-AAG|4|General disorders and administration site conditions|Fatigue|Fatigue|||10016256|Fatigue|Fatigue||No|
|330507|17-AAG|4|General disorders and administration site conditions|Fever|Fever|||10016558|Fever|Fever||No|
|330507|17-AAG|4|Investigations|Alanine aminotransferase increased|Alanine aminotransferase increased|||10001551|Alanine aminotransferase increased|Alanine aminotransferase increased||No|
|330507|17-AAG|4|Investigations|Alkaline phosphatase increased|Alkaline phosphatase increased|||10001675|Alkaline phosphatase increased|Alkaline phosphatase increased||No|
|330507|17-AAG|4|Investigations|Aspartate aminotransferase increased|Aspartate aminotransferase increased|||10003481|Aspartate aminotransferase increased|Aspartate aminotransferase increased||No|
|330507|17-AAG|4|Investigations|Blood bilirubin increased|Blood bilirubin increased|||10005364|Blood bilirubin increased|Blood bilirubin increased||No|
|330507|17-AAG|4|Investigations|GGT increased|GGT increased|||10056910|GGT increased|GGT increased||No|
|330507|17-AAG|4|Metabolism and nutrition disorders|Anorexia|Anorexia|||10002646|Anorexia|Anorexia||No|
|330507|17-AAG|4|Metabolism and nutrition disorders|Dehydration|Dehydration|||10012174|Dehydration|Dehydration||No|
|330507|17-AAG|4|Metabolism and nutrition disorders|Hyperglycemia|Hyperglycemia|||10020639|Hyperglycemia|Hyperglycemia||No|
|330507|17-AAG|4|Musculoskeletal and connective tissue disorders|Myalgia|Myalgia|||10028411|Myalgia|Myalgia||No|
|330507|17-AAG|4|Nervous system disorders|Dizziness|Dizziness|||10013573|Dizziness|Dizziness||No|
|330507|17-AAG|4|Nervous system disorders|Headache|Headache|||10019211|Headache|Headache||No|
|707545|17-DMAG|4|Cardiac disorders|Atrioventricular block first degree|Atrioventricular block first degree|||10003674|Atrioventricular block first degree|Atrioventricular block first degree||No|
|707545|17-DMAG|4|Cardiac disorders|Mobitz (type) II atrioventricular block|Mobitz (type) II atrioventricular block|||10027786|Mobitz (type) II atrioventricular block|Mobitz (type) II atrioventricular block||No|
|707545|17-DMAG|4|Cardiac disorders|Mobitz type I|Mobitz type I|||10027787|Mobitz type I|Mobitz type I||No|
|707545|17-DMAG|4|Cardiac disorders|Sinus bradycardia|Sinus bradycardia|||10040741|Sinus bradycardia|Sinus bradycardia||No|
|707545|17-DMAG|4|Cardiac disorders|Sinus tachycardia|Sinus tachycardia|||10040752|Sinus tachycardia|Sinus tachycardia||No|
|707545|17-DMAG|4|Eye disorders|Dry eye|Dry eye|||10013774|Dry eye|Dry eye||No|
|707545|17-DMAG|4|Gastrointestinal disorders|Diarrhea|Diarrhea|||10012727|Diarrhea|Diarrhea||No|
|707545|17-DMAG|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|707545|17-DMAG|4|Gastrointestinal disorders|Vomiting|Vomiting|||10047700|Vomiting|Vomiting||No|
|707545|17-DMAG|4|Investigations|Alanine aminotransferase increased|Alanine aminotransferase increased|||10001551|Alanine aminotransferase increased|Alanine aminotransferase increased||No|
|707545|17-DMAG|4|Investigations|Aspartate aminotransferase increased|Aspartate aminotransferase increased|||10003481|Aspartate aminotransferase increased|Aspartate aminotransferase increased||No|
|707545|17-DMAG|4|Investigations|Platelet count decreased|Platelet count decreased|||10035528|Platelet count decreased|Platelet count decreased||No|
|707545|17-DMAG|4|Musculoskeletal and connective tissue disorders|Arthralgia|Arthralgia|||10003239|Arthralgia|Arthralgia||No|
|737664|ABT-888|4|Blood and lymphatic system disorders|Anemia|Anemia|||10002272|Anemia|Anemia||No|
|737664|ABT-888|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|737664|ABT-888|4|Gastrointestinal disorders|Vomiting|Vomiting|||10047700|Vomiting|Vomiting||No|
|737664|ABT-888|4|General disorders and administration site conditions|Fatigue|Fatigue|||10016256|Fatigue|Fatigue||No|
|737664|ABT-888|4|Investigations|Lymphocyte count decreased|Lymphocyte count decreased|||10025256|Lymphocyte count decreased|Lymphocyte count decreased||No|
|737664|ABT-888|4|Investigations|Neutrophil count decreased|Neutrophil count decreased|||10029366|Neutrophil count decreased|Neutrophil count decreased||No|
|737664|ABT-888|4|Investigations|Platelet count decreased|Platelet count decreased|||10035528|Platelet count decreased|Platelet count decreased||No|
|737664|ABT-888|4|Investigations|White blood cell decreased|White blood cell decreased|||10049182|White blood cell decreased|White blood cell decreased||No|
|737664|ABT-888|4|Metabolism and nutrition disorders|Dehydration|Dehydration|||10012174|Dehydration|Dehydration||No|
|710464|AFP464 (aminoflavone prodrug)|4|Blood and lymphatic system disorders|Anemia|Anemia|||10002272|Anemia|Anemia||No|
|710464|AFP464 (aminoflavone prodrug)|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|710464|AFP464 (aminoflavone prodrug)|4|Gastrointestinal disorders|Vomiting|Vomiting|||10047700|Vomiting|Vomiting||No|
|710464|AFP464 (aminoflavone prodrug)|4|General disorders and administration site conditions|Fatigue|Fatigue|||10016256|Fatigue|Fatigue||No|
|710464|AFP464 (aminoflavone prodrug)|4|General disorders and administration site conditions|Fever|Fever|||10016558|Fever|Fever||No|
|710464|AFP464 (aminoflavone prodrug)|4|Investigations|Alanine aminotransferase increased|Alanine aminotransferase increased|||10001551|Alanine aminotransferase increased|Alanine aminotransferase increased||No|
|710464|AFP464 (aminoflavone prodrug)|4|Investigations|Alkaline phosphatase increased|Alkaline phosphatase increased|||10001675|Alkaline phosphatase increased|Alkaline phosphatase increased||No|
|710464|AFP464 (aminoflavone prodrug)|4|Investigations|Aspartate aminotransferase increased|Aspartate aminotransferase increased|||10003481|Aspartate aminotransferase increased|Aspartate aminotransferase increased||No|
|710464|AFP464 (aminoflavone prodrug)|4|Investigations|Carbon monoxide diffusing capacity decreased|Carbon monoxide diffusing capacity decreased|||10065906|Carbon monoxide diffusing capacity decreased|Carbon monoxide diffusing capacity decreased||No|
|710464|AFP464 (aminoflavone prodrug)|4|Metabolism and nutrition disorders|Anorexia|Anorexia|||10002646|Anorexia|Anorexia||No|
|710464|AFP464 (aminoflavone prodrug)|4|"Respiratory, thoracic and mediastinal disorders"|Dyspnea|Dyspnea|||10013963|Dyspnea|Dyspnea||No|
|710464|AFP464 (aminoflavone prodrug)|4|Vascular disorders|Phlebitis|Phlebitis|||10034879|Phlebitis|Phlebitis||No|
|710464|AFP464 (aminoflavone prodrug)|4|Vascular disorders|Thromboembolic event|Thromboembolic event|||10043565|Thromboembolic event|Thromboembolic event||No|
|749712|AT13387|4|Blood and lymphatic system disorders|Anemia|Anemia|||10002272|Anemia|Anemia||No|
|749712|AT13387|4|Gastrointestinal disorders|Diarrhea|Diarrhea|||10012727|Diarrhea|Diarrhea||No|
|749712|AT13387|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|749712|AT13387|4|General disorders and administration site conditions|Fatigue|Fatigue|||10016256|Fatigue|Fatigue||No|
|735464|AZD0530 (saracatinib)|4|Gastrointestinal disorders|Diarrhea|Diarrhea|||10012727|Diarrhea|Diarrhea||No|
|735464|AZD0530 (saracatinib)|4|Gastrointestinal disorders|Nausea|Nausea|||10028813|Nausea|Nausea||No|
|735464|AZD0530 (saracatinib)|4|Gastrointestinal disorders|Vomiting|Vomiting|||10047700|Vomiting|Vomiting||No|
|735464|AZD0530 (saracatinib)|4|Investigations|Creatinine increased|Creatinine increased|||10011368|Creatinine increased|Creatinine increased||No|
|735464|AZD0530 (saracatinib)|4|Metabolism and nutrition disorders|Anorexia|Anorexia|||10002646|Anorexia|Anorexia||No|
|732208|"AZD2171 (cediranib, Recentin)"|4|Endocrine disorders|Hypothyroidism|Hypothyroidism|||10021114|Hypothyroidism|Hypothyroidism||No|
|732208|"AZD2171 (cediranib, Recentin)"|4|Gastrointestinal disorders|Abdominal pain|Abdominal pain|||10000081|Abdominal pain|Abdominal pain||No|
|732208|"AZD2171 (cediranib, Recentin)"|4|Gastrointestinal disorders|Anal mucositis|Anal mucositis|||10065721|Anal mucositis|Anal mucositis||No|
|732208|"AZD2171 (cediranib, Recentin)"|4|Gastrointestinal disorders|Constipation|Constipation|||10010774|Constipation|Constipation||No|
|732208|"AZD2171 (cediranib, Recentin)"|4|Gastrointestinal disorders|Diarrhea|Diarrhea|||10012727|Diarrhea|Diarrhea||No|
|732208|"AZD2171 (cediranib, Recentin)"|4|Gastrointestinal disorders|Dry mouth|Dry mouth|||10013781|Dry mouth|Dry mouth||No|
